Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611580204,2021-01-25 08:10:04,0x000087b8,0x00000000,69,32,8,24:fd:5b:00:01:07:18:e8,ZED,ZC,21,4503
1611580204,2021-01-25 08:10:04,0x00000000,0x000087b8,45,8,226,24:fd:5b:00:00:02:1d:72,ZC,ZED,21,4503
1611580205,2021-01-25 08:10:05,0x000087b8,0x00000000,65,28,10,24:fd:5b:00:01:07:18:e8,ZED,ZC,21,4503
1611580205,2021-01-25 08:10:05,0x00000000,0x000087b8,45,8,227,24:fd:5b:00:00:02:1d:72,ZC,ZED,21,4503
1611580206,2021-01-25 08:10:06,0x000087b8,0x00000000,65,28,12,24:fd:5b:00:01:07:18:e8,ZED,ZC,21,4503
1611580206,2021-01-25 08:10:06,0x00000000,0x000087b8,45,8,228,24:fd:5b:00:00:02:1d:72,ZC,ZED,21,4503
1611580207,2021-01-25 08:10:07,0x000087b8,0x00000000,65,28,14,24:fd:5b:00:01:07:18:e8,ZED,ZC,21,4503
1611580207,2021-01-25 08:10:07,0x00000000,0x000087b8,45,8,229,24:fd:5b:00:00:02:1d:72,ZC,ZED,21,4503
1611580208,2021-01-25 08:10:08,0x000087b8,0x00000000,65,28,16,24:fd:5b:00:01:07:18:e8,ZED,ZC,21,4503
1611580208,2021-01-25 08:10:08,0x00000000,0x000087b8,45,8,230,24:fd:5b:00:00:02:1d:72,ZC,ZED,21,4503
